nome_norm,uf,lat,lon,codigo_ibge
abadia de goias,GO,-16.7573,-49.4412,5200050
abadia dos dourados,MG,-18.4831,-47.3916,3100104
abadiania,GO,-16.197,-48.7057,5200100
abaete,MG,-19.1551,-45.4444,3100203
abaetetuba,PA,-1.72183,-48.8788,1500107
abaiara,CE,-7.34588,-39.0416,2300101
abaira,BA,-13.2488,-41.6619,2900108
abare,BA,-8.72073,-39.1162,2900207
abatia,PR,-23.3049,-50.3133,4100103
abdon batista,SC,-27.6126,-51.0233,4200051
abel figueiredo,PA,-4.95333,-48.3933,1500131
abelardo luz,SC,-26.5716,-52.3229,4200101
abre campo,MG,-20.2996,-42.4743,3100302
abreu e lima,PE,-7.90072,-34.8984,2600054
abreulandia,TO,-9.62101,-49.1518,1700251
acaiaca,MG,-20.359,-43.1439,3100401
acailandia,MA,-4.94714,-47.5004,2100055
acajutiba,BA,-11.6575,-38.0197,2900306
acara,PA,-1.95383,-48.1985,1500206
acarape,CE,-4.22083,-38.7055,2300150
acarau,CE,-2.88769,-40.1183,2300200
acari,RN,-6.4282,-36.6347,2400109
acaua,PI,-8.21954,-41.0831,2200053
acegua,RS,-31.8665,-54.1615,4300034
acopiara,CE,-6.08911,-39.448,2300309
acorizal,MT,-15.194,-56.3632,5100102
acrelandia,AC,-9.82581,-66.8972,1200013
acreuna,GO,-17.396,-50.3749,5200134
acu,RN,-5.58362,-36.914,2400208
acucena,MG,-19.0671,-42.5419,3100500
adamantina,SP,-21.682,-51.0737,3500105
adelandia,GO,-16.4127,-50.1657,5200159
adolfo,SP,-21.2325,-49.6451,3500204
adrianopolis,PR,-24.6606,-48.9922,4100202
adustina,BA,-10.5437,-38.1113,2900355
afogados da ingazeira,PE,-7.74312,-37.631,2600104
afonso bezerra,RN,-5.49229,-36.5075,2400307
afonso claudio,ES,-20.0778,-41.1261,3200102
afonso cunha,MA,-4.13631,-43.3275,2100105
afranio,PE,-8.51136,-41.0095,2600203
afua,PA,-0.154874,-50.3861,1500305
agrestina,PE,-8.45966,-35.9447,2600302
agricolandia,PI,-5.79676,-42.6664,2200103
agrolandia,SC,-27.4087,-49.822,4200200
agronomica,SC,-27.2662,-49.708,4200309
agua azul do norte,PA,-6.79053,-50.4791,1500347
agua boa,MG,-17.9914,-42.3806,3100609
agua boa,MT,-14.051,-52.1601,5100201
agua branca,PI,-5.88856,-42.637,2200202
agua branca,PB,-7.51144,-37.6357,2500106
agua branca,AL,-9.262,-37.938,2700102
agua clara,MS,-20.4452,-52.879,5000203
agua comprida,MG,-20.0576,-48.1069,3100708
agua doce,SC,-26.9985,-51.5528,4200408
agua doce do maranhao,MA,-2.84048,-42.1189,2100154
agua doce do norte,ES,-18.5482,-40.9854,3200169
agua fria,BA,-11.8618,-38.7639,2900405
agua fria de goias,GO,-14.9778,-47.7823,5200175
agua limpa,GO,-18.0771,-48.7603,5200209
agua nova,RN,-6.20351,-38.2941,2400406
agua preta,PE,-8.70609,-35.5263,2600401
agua santa,RS,-28.1672,-52.031,4300059
aguai,SP,-22.0572,-46.9735,3500303
aguanil,MG,-20.9439,-45.3915,3100807
aguas belas,PE,-9.11125,-37.1226,2600500
aguas da prata,SP,-21.9319,-46.7176,3500402
aguas de chapeco,SC,-27.0754,-52.9808,4200507
aguas de lindoia,SP,-22.4733,-46.6314,3500501
aguas de santa barbara,SP,-22.8812,-49.2421,3500550
aguas de sao pedro,SP,-22.5977,-47.8734,3500600
aguas formosas,MG,-17.0802,-40.9384,3100906
aguas frias,SC,-26.8794,-52.8568,4200556
aguas lindas de goias,GO,-15.7617,-48.2816,5200258
aguas mornas,SC,-27.6963,-48.8243,4200606
aguas vermelhas,MG,-15.7431,-41.4571,3101003
agudo,RS,-29.6447,-53.2515,4300109
agudos,SP,-22.4694,-48.9863,3500709
agudos do sul,PR,-25.9899,-49.3343,4100301
aguia branca,ES,-18.9846,-40.7437,3200136
aguiar,PB,-7.0918,-38.1681,2500205
aguiarnopolis,TO,-6.55409,-47.4702,1700301
aimores,MG,-19.5007,-41.0746,3101102
aiquara,BA,-14.1269,-39.8937,2900603
aiuaba,CE,-6.57122,-40.1178,2300408
aiuruoca,MG,-21.9736,-44.6042,3101201
ajuricaba,RS,-28.2342,-53.7757,4300208
alagoa,MG,-22.171,-44.6413,3101300
alagoa grande,PB,-7.03943,-35.6206,2500304
alagoa nova,PB,-7.05377,-35.7591,2500403
alagoinha,PB,-6.94657,-35.5332,2500502
alagoinha,PE,-8.4665,-36.7788,2600609
alagoinha do piaui,PI,-7.00039,-40.9282,2200251
alagoinhas,BA,-12.1335,-38.4208,2900702
alambari,SP,-23.5503,-47.898,3500758
albertina,MG,-22.2018,-46.6139,3101409
alcantara,MA,-2.39574,-44.4062,2100204
alcantaras,CE,-3.58537,-40.5479,2300507
alcantil,PB,-7.73668,-36.0511,2500536
alcinopolis,MS,-18.3255,-53.7042,5000252
alcobaca,BA,-17.5195,-39.2036,2900801
aldeias altas,MA,-4.62621,-43.4689,2100303
alecrim,RS,-27.6579,-54.7649,4300307
alegre,ES,-20.758,-41.5382,3200201
alegrete,RS,-29.7902,-55.7949,4300406
alegrete do piaui,PI,-7.24196,-40.8566,2200277
alegria,RS,-27.8345,-54.0557,4300455
alem paraiba,MG,-21.8797,-42.7176,3101508
alenquer,PA,-1.94623,-54.7384,1500404
alexandria,RN,-6.40533,-38.0142,2400505
alexania,GO,-16.0834,-48.5076,5200308
alfenas,MG,-21.4256,-45.9477,3101607
alfredo chaves,ES,-20.6396,-40.7543,3200300
alfredo marcondes,SP,-21.9527,-51.414,3500808
alfredo vasconcelos,MG,-21.1535,-43.7718,3101631
alfredo wagner,SC,-27.7001,-49.3273,4200705
algodao de jandaira,PB,-6.89292,-36.0129,2500577
alhandra,PB,-7.42977,-34.9057,2500601
alianca,PE,-7.60398,-35.2227,2600708
alianca do tocantins,TO,-11.3056,-48.9361,1700350
almadina,BA,-14.7089,-39.6415,2900900
almas,TO,-11.5706,-47.1792,1700400
almeirim,PA,-1.52904,-52.5788,1500503
almenara,MG,-16.1785,-40.6942,3101706
almino afonso,RN,-6.1475,-37.7636,2400604
almirante tamandare,PR,-25.3188,-49.3037,4100400
almirante tamandare do sul,RS,-28.1149,-52.9142,4300471
aloandia,GO,-17.7292,-49.4769,5200506
alpercata,MG,-18.974,-41.97,3101805
alpestre,RS,-27.2502,-53.0341,4300505
alpinopolis,MG,-20.8631,-46.3878,3101904
alta floresta,MT,-9.86674,-56.0867,5100250
alta floresta d'oeste,RO,-11.9283,-61.9953,1100015
altair,SP,-20.5242,-49.0571,3500907
altamira,PA,-3.20407,-52.21,1500602
altamira do maranhao,MA,-4.16598,-45.4706,2100402
altamira do parana,PR,-24.7983,-52.7128,4100459
altaneira,CE,-6.99837,-39.7356,2300606
alterosa,MG,-21.2488,-46.1387,3102001
altinho,PE,-8.48482,-36.0644,2600807
altinopolis,SP,-21.0214,-47.3712,3501004
alto alegre,SP,-21.5811,-50.168,3501103
alto alegre,RR,2.98858,-61.3072,1400050
alto alegre,RS,-28.7769,-52.9893,4300554
alto alegre do maranhao,MA,-4.213,-44.446,2100436
alto alegre do pindare,MA,-3.66689,-45.8421,2100477
alto alegre dos parecis,RO,-12.132,-61.835,1100379
alto araguaia,MT,-17.3153,-53.2181,5100300
alto bela vista,SC,-27.4333,-51.9044,4200754
alto boa vista,MT,-11.6732,-51.3883,5100359
alto caparao,MG,-20.431,-41.8738,3102050
alto do rodrigues,RN,-5.28186,-36.75,2400703
alto feliz,RS,-29.3919,-51.3123,4300570
alto garcas,MT,-16.9462,-53.5272,5100409
alto horizonte,GO,-14.1978,-49.3378,5200555
alto jequitiba,MG,-20.4208,-41.967,3153509
alto longa,PI,-5.25634,-42.2096,2200301
alto paraguai,MT,-14.5137,-56.4776,5100508
alto paraiso,PR,-26.1146,-52.7469,4128625
alto paraiso,RO,-9.71429,-63.3188,1100403
alto paraiso de goias,GO,-14.1305,-47.51,5200605
alto parana,PR,-23.1312,-52.3189,4100608
alto parnaiba,MA,-9.10273,-45.9303,2100501
alto piquiri,PR,-24.0224,-53.44,4100707
alto rio doce,MG,-21.0281,-43.4067,3102100
alto rio novo,ES,-19.0618,-41.0209,3200359
alto santo,CE,-5.50894,-38.2743,2300705
alto taquari,MT,-17.8241,-53.2792,5100607
altonia,PR,-23.8759,-53.8958,4100509
altos,PI,-5.03888,-42.4612,2200400
aluminio,SP,-23.5306,-47.2546,3501152
alvaraes,AM,-3.22727,-64.8007,1300029
alvarenga,MG,-19.4174,-41.7317,3102209
alvares florence,SP,-20.3203,-49.9141,3501202
alvares machado,SP,-22.0764,-51.4722,3501301
alvaro de carvalho,SP,-22.0841,-49.719,3501400
alvinlandia,SP,-22.4435,-49.7623,3501509
alvinopolis,MG,-20.1098,-43.0535,3102308
alvorada,TO,-12.4785,-49.1249,1700707
alvorada,RS,-29.9914,-51.0809,4300604
alvorada d'oeste,RO,-11.3463,-62.2847,1100346
alvorada de minas,MG,-18.7334,-43.3638,3102407
alvorada do gurgueia,PI,-8.42418,-43.777,2200459
alvorada do norte,GO,-14.4797,-46.491,5200803
alvorada do sul,PR,-22.7813,-51.2297,4100806
amajari,RR,3.64571,-61.3692,1400027
amambai,MS,-23.1058,-55.2253,5000609
amapa,AP,2.05267,-50.7957,1600105
amapa do maranhao,MA,-1.67524,-46.0024,2100550
amapora,PR,-23.0943,-52.7866,4100905
